Local Government Area,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 Banyule,4645.4,4580.3,5466.5,5216.2,5668.2,5767.7,5657.6,5322.9,5506.3,4794.9
 Brimbank,7508.7,7889.6,7603.2,6838.1,7331.4,7089,6491.7,6997.3,7434.9,7132.9
 Darebin,6731,6250.3,7168.7,7089.4,7666.7,8315.5,7067.6,6848.6,7149,6968.1
 Hobsons Bay,5737,6565.9,6021,5861,5931.8,5500.1,5006.2,4958.8,4995.5,4583.9
 Hume,6208.1,6400.6,6616,6805.1,7534.7,7913.6,6802.3,6676.2,6589.9,6301.2
 Maribyrnong,9207.2,8946.9,8419.5,7592.3,8256.1,8049.3,7203.6,7134,7694.1,7502.6
 Melbourne,22120.7,20625.7,19390.5,17283.3,17570,17652.9,15753,14839,14628.6,15199.4
 Melton,5393.4,5456.8,5565.7,5560.5,6218.4,6034.3,4982.2,5051.7,5404.6,5486.3
 Moonee Valley,5419.1,5909.2,5410,5397.1,5750.7,6186.9,5232,4977.2,5100.5,4673.2
 Moreland,5772.6,5932,5979.3,6148.8,6485.4,6668.2,6062.8,6139.6,5881.5,5432.9
 Nillumbik,2218.2,2388.6,2516,2596,3259.9,3359.7,2764,2494.7,2592.8,2349.4
 Whittlesea,5420.8,5419.1,5419.9,5081.1,5358.4,5967,5077.3,5171.6,5177.2,4804.3
 Wyndham,5619.4,5613.8,5089.5,4681.1,5264.1,4963.7,4253.1,4235.7,4897.4,4369.6
 Yarra,11154.5,10467.8,11225.8,10782.6,11177.3,11782,10801.8,11015,11086.5,10719.2
 Alpine,2708.7,2385.4,2873.3,2405.7,2607.7,2215.5,2505.9,3114.3,3376.2,3053.8
 Bass Coast,5390.9,5684.5,6513.8,5823.3,6045.3,5775.6,5092.6,4907.1,4772.3,5454.5
 Baw Baw,4221.9,4644.2,4825.9,4801.7,5379.7,5710.8,5631.4,5953.9,6535.6,6449
 Benalla,5401.1,5533.9,6180.7,5666.9,6372.5,7156.1,6988.5,6249.1,6613.9,7053.5
 Boroondara,3310.7,3405,3455.9,3226.8,3470.3,3899.8,3105.2,3040.4,3563.5,3333.4
 East Gippsland,5479,6507.8,6881.7,6552.6,7188.6,6398.5,6527.7,6749.4,7622.8,7569.9
 Greater Shepparton,8270.2,7363.5,8365.3,8646.4,8713.4,9621.1,9059.5,9366.8,9518.4,8855.8
 Indigo,2536.6,2172.4,2320.1,1978.4,2369.3,2142.9,2055.9,2221.7,2546.6,2517.8
 Knox,4045.5,4218.8,4647,4368.6,4792.6,5761.7,5219,4918.2,5375.2,5048
 Latrobe,9409,10100.6,10425.7,10886.5,12560.6,13814.3,12466.6,13159,13272.7,11944.3
 Manningham,2423.4,2423.2,2686.8,2604.6,2776.4,3270.3,2915.5,2673.5,2902.4,2647.1
 Mansfield,2914.7,3081.2,4026.2,3821.8,4795.9,5343.3,5045.1,3498.6,3557.1,4068.1
 Maroondah,4554.8,4652,5247.7,4967.1,5282.2,6078,5004,5089,4958.9,4812.4
 Mitchell,4881.3,5099.5,5150.4,5444.1,7130,7321.2,6864.9,6583.2,6552.4,6552.2
 Moira,4146.5,3563.4,4000,3680.7,4032.4,4643.9,5047.5,5621.7,6113,5458.6
 Monash,3492.8,3537.1,3804.5,3651.7,4088.8,4584.6,4145.1,3958.7,4674.6,4806.6
 Murrindindi,3448.3,3354.7,4128,3451.8,4049.2,3681.3,3674.5,4070.6,4078.8,4463.1
 South Gippsland,3151.2,3278.7,3134.5,3307.7,3066.4,3905.1,3401.5,3330,4496.2,4157.9
 Strathbogie,3633,3810.7,3683.4,3164.6,3862.1,4406.7,4115,4156.6,4321.3,4128.4
 Towong,2996.6,3053.2,3594.1,2348,2993.7,2881.3,2824.6,2864.7,2540.2,2491.5
 Wangaratta,6290.5,6061.5,6209.2,5806.1,5830.3,6505.4,6185.1,5616.1,5990.3,5707.5
 Wellington,5703.9,6624.4,6736.1,6643.2,7126.1,7360.6,6036.3,6582.1,7560.9,7172.6
 Whitehorse,3324.5,3458.8,3531.5,3388.5,3440.8,3817.3,3685.8,3558.6,4069.5,3917.7
 Wodonga,6719.6,6496.3,6119.5,6271.8,6401.5,6204.1,5718.2,5752.9,6628.9,5642.9
 Yarra Ranges,3344.4,3293.5,3483.6,3423.9,3696.5,4102.1,3487.4,3616.9,3869.8,3863.4
 Bayside,3339.1,3474.7,3427,3318.9,3718.7,3957.5,3686.2,3374.6,3900.8,3584.8
 Cardinia,4312.3,4593.9,4872.3,4273.1,5079.3,5077,4008.7,4187.1,4689.6,4697.9
 Casey,4114.2,4225.5,4275.6,4508.4,5046.9,5542.4,4325.5,4582.1,4705.7,4375.5
 Frankston,7090.3,7769.2,8264,7547.7,8017.1,8778.6,7558.1,7821.5,7743.9,7147.1
 Glen Eira,3227.5,3255.7,3231.9,3066,3504.4,3877.7,3399.8,3125.2,3858.6,3858.4
 Greater Dandenong,7612.5,7957.5,8288,7795,8778.4,9451.6,8202.7,8438.1,8746,8631.1
 Kingston,4569.4,4673.9,4876.5,4634.4,5263,5203.9,4837.5,5191.7,5401.3,4854.2
 Mornington Peninsula,4673.7,4651.9,5004.5,4637.6,5318.6,5458,5137.4,4868.2,5104.8,4511.8
 Port Phillip,8304.9,8806.1,8426.9,8608.7,9083.4,9482.5,8651.4,8372.3,8571.7,8974.7
 Stonnington,7016.1,6875.3,7016.5,6725.1,7251.2,8005.5,6884.2,6936.9,7978.8,7736.5
 Ararat,7500,7580.5,7370.2,7385.8,7484,7732.2,7494.7,7700.1,7471.8,9104.3
 Ballarat,8735.8,7914.1,8184,7711,8728.5,8743.9,8292.6,7423.5,7824.1,6388.1
 Buloke,3590.3,3365.7,2936.1,3171.6,2816.7,2272.4,2717.1,3495,4163.3,4030.5
 Campaspe,5504.7,5877,5758.2,6094.2,6697.7,7290.5,6680,7760.2,7426.7,6539.2
 Central Goldfields,5395.6,6305.1,6224.8,6239.4,6961.1,7225.4,6867.1,6956.5,6614.7,6304.6
 Colac-Otway,5205.2,5172.3,5347.6,4969.4,5650.2,7540.8,5776.2,6126.5,5909,5678.4
 Corangamite,3145.1,2992.1,3090.6,2734.4,3466.1,4941.4,3841.6,3040.5,3446.5,4371.6
 Gannawarra,3896,3809.6,4214.9,4109.7,4163.9,4995.7,3954.1,5549.7,5846.2,6217.5
 Glenelg,5901.6,5228.1,6388.3,7119,6306,7007.9,6082.2,4859.9,5937.5,5380.3
 Golden Plains,1678.2,1939.9,1880.5,2291,2725.3,2614.3,2080.6,2149.9,1946.5,1837.4
 Greater Bendigo,5011.3,5412.6,5690.3,5540.1,5914.5,7040,6109,6853.2,6937.8,6595.4
 Greater Geelong,5939.3,5863.3,6204.3,6346.2,7050.5,7359.8,6686,6094.5,6419.1,5757.7
 Hepburn,3642.5,3428.3,3503.7,3260.7,3942,4626,4041.2,3875.3,4567.7,3144.7
 Hindmarsh,3022,3383.5,2994.5,2617.1,2904.6,5036.7,4482.6,4475.5,4399.1,5238
 Horsham,6568.7,6677.2,7307.1,8447.9,10239.4,8830.8,8236.9,7208.8,6773.9,7391.8
 Loddon,4329.9,4323,3447.4,3332.9,4088.4,5235.1,4219.4,5145.3,4897.6,5525.9
 Macedon Ranges,2715,2973.4,3221.8,3060,3405.6,3395.2,3083.8,3547.7,3382.3,3604.1
 Mildura,8392.6,8435.5,8768.6,8543.8,8597.1,9459.2,8685.8,9847.8,9916.5,7929.3
 Moorabool,3936.9,4557.7,4735.1,4778.3,5099.2,5923.7,5337.3,4658.9,4556.7,5416.1
 Mount Alexander,3960.6,3419.7,3286.3,3628.8,4231,4705.4,3756.3,3802.3,4469.8,3623.6
 Moyne,2956.3,2994.3,2785.9,2700.3,2551.2,2906,2747.7,2707.6,2971.8,3021
 Northern Grampians,6098.6,5580.8,5765.5,6604.3,7121.9,8101.1,7016.6,6683.6,6445.7,7974.1
 Pyrenees,2842.6,3747.5,4924.1,4903.2,5658.8,4892.6,4175.2,5609.1,4632.7,4562.2
 Queenscliffe,3369.3,2831.4,2963,3614,4984.6,4562.4,3621.7,4015,3357.7,2727.9
 Southern Grampians,5011.8,4812,5456.8,4201.2,5278.2,6357.4,6222.9,6882.8,5497.7,4962
 Surf Coast,4111.9,3748.1,3549.9,3041.4,3961.9,3407,2951.8,2687,2999.6,3254.7
 Swan Hill,6380.2,6422.9,7254.1,7859.1,7695.3,8408.9,8439.3,9046,8619.9,9133.6
 Warrnambool,5417.6,5454.3,5662.8,5905,6445.3,7489.4,7764.7,8547.2,6945.7,6229.8
 West Wimmera,2396.8,2934,3368,2013.1,2921,3158.7,2951.8,3256.1,3727,3236.8
 Yarriambiack,3946.4,3768.5,3090.7,3032.5,4908.8,4937.2,5377,4821.5,4842.1,5197.1
